pmid,title,abstract,journal
4950421,Stress and heart disease.,,Cardiovascular clinics
32169863,Heartbeat: focus on heart disease in women.,,Heart (British Cardiac Society)
9248681,Pericardial heart disease.,,Current problems in cardiology
19734077,"Heart disease in cattle: diagnosis, therapeutic approaches and prognosis.","Heart disease in cattle remains medically challenging both to diagnose and to treat. This is in part due to its low incidence in the bovine species but also because the prognosis is typically guarded to poor. The majority of published data concerning bovine heart disease are case studies and case reports. The aim of this article is to review the evidence-based medicine on the principal heart diseases of cattle (pericarditis, bacterial endocarditis, congenital heart defects, cor pulmonale, dilated cardiomyopathy and heart neoplasms), with emphasis on their diagnosis, prognosis and treatment.","Veterinary journal (London, England : 1997)"
19122112,"Depression and heart disease: what do we know, and where are we headed?",Depression and heart disease have an intricate association and perhaps a causal relationship. We review the current status of depression and heart disease and provide an algorithm for diagnosing and treating depression in cardiac patients that internists and cardiologists can use in their daily patient encounters.,Cleveland Clinic journal of medicine
14156028,"HEART DISEASE IN AFRICA, WITH PARTICULAR REFERENCE TO SOUTHERN AFRICA.",,The American journal of cardiology
4551545,Prevention of heart disease.,,Postgraduate medicine
41190401,Stroke in children with congenital or acquired heart disease.,"Children with congenital or acquired cardiac disease are at increased risk for both ischemic and hemorrhagic stroke. This review covers the epidemiology, presentation, acute management, and outcomes of stroke in children with heart disease. The major advances in endovascular thrombectomy for adults with large vessel occlusions (LVOs) have had significant ramifications for children with cardioembolic stroke, who often present with LVO. Several large registry studies have shown that thrombectomy likely improves outcomes for children with LVO, including those with acquired or congenital heart disease. Improving both primary and secondary stroke prevention remains both vital and challenging; as more children with congenital heart disease survive into adulthood, studies show that they remain at increased risk for stroke and may be susceptible to earlier frailty and cognitive impairment. Children with cardiac disease have a lifelong increased risk of stroke. While new interventions such as thrombectomy may improve outcomes, more research is needed to improve long term neurologic outcomes in this population.",Current opinion in pediatrics
25307549,Biomarkers in congenital heart disease.,"The population of adults with congenital heart disease (CHD) now exceeds the population of children with CHD. The long-term management of these patients relies on sequential assessment of anatomy and physiology and integration with symptoms, all targeted toward decision making around intervention. The advances in technology have vastly improved our assessment of anatomy and function. However, while the assessment of chronic heart failure in acquired heart disease has been revolutionized by the proven utility of cardiac biomarkers, their use in adult CHD is still being assessed.",Biomarkers in medicine
18288184,The developmental genetics of congenital heart disease.,"Congenital heart disease is the leading cause of infant morbidity in the Western world, but only in the past ten years has its aetiology been understood. Recent studies have uncovered the genetic basis for some common forms of the disease and provide new insight into how the heart develops and how dysregulation of heart development leads to disease.",Nature
18858037,Pulmonary heart disease.,,Diseases of the chest
27815926,Hypertension Is a Risk Factor for Several Types of Heart Disease: Review of Prospective Studies.,"Many prospective cohort studies have demonstrated that hypertension is a strong risk factor for total mortality and cardiovascular disease (CVD). Heart disease includes coronary heart disease (CHD), heart failure, atrial fibrillation, valvular disease, sudden cardiac death (SCD), sick sinus syndrome (SSS), cardiomyopathy, and aortic aneurysms. Most of the epidemiologic prospective studies of heart disease focused on coronary/ischemic heart disease. Here we comprehensively reviewed the association between hypertension and the above-mentioned heart diseases. We found that CHD, heart failure, atrial fibrillation, aortic valvular disease, SCD, SSS, left ventricular hypertrophy, and abdominal aortic aneurysms were all associated with hypertension. Those relations tended to be stronger in men. The prevention of hypertension and lowering one's blood pressure may help reduce the risk of developing heart disease.",Advances in experimental medicine and biology
38941123,"Heart Disease Prevalence, Medical Costs Will Soar in US by 2050.",,JAMA
23931976,Frailty and heart disease.,"Frailty is emerging as a syndrome of pre-disability that can identify persons at risk for negative outcomes. Its presence places the individual at risk for rapid deterioration when a major event such as myocardial infarction or hospitalization occurs. In patients with cardiovascular disease, frailty is about three times more prevalent than among elderly persons without. Screening for frailty in heart disease is important not only because of its prognostic value, but also because a variety of therapeutic interventions are available.",International journal of cardiology
14944735,Heart disease in scleroderma.,,British heart journal
9447346,Pregnancy and heart disease: a review.,"About one per cent of all pregnancies are affected by maternal heart disease, which may have significant influence on the maternal and foetal outcome. In this context rheumatic heart disease is declining and congenital heart disease is becoming the dominant category. Our experience of pregnancy in the new groups of patients created by paediatric heart surgery is scant and a continuous update is required.","European journal of obstetrics, gynecology, and reproductive biology"
30866753,Acquired heart disease in children is not necessarily rheumatic.,"Acquired heart diseases (AHD) cause significant morbidity and mortality in children. There are limited studies on their burden in children. We conducted a retrospective study of 85 consecutive children diagnosed with AHD using clinical evaluation and echocardiography at Medical College, Kanpur, India to determine the aetiology and outcome of AHD in children. We found rheumatic heart disease (RHD) in one-third, cardiomyopathies or myocarditis combined in a further third and the remaining third were other causes, including pericardial diseases and metabolic or genetic disorders. These latter diseases were frequently misdiagnosed, causing significant morbidity and mortality. Hence, in children of all age groups presenting with unexplained shock, dyspnoea, hepatomegaly and ascites, cardiac status should be carefully and critically evaluated so that non-rheumatic AHD may not be missed.",Tropical doctor
13857515,THYROTOXIC heart-disease.,,"Lancet (London, England)"
33632455,Anxiety and psychological management of heart disease and heart surgery.,"Anxiety is associated with many forms and facets of heart disease, and, by extension, neurologic manifestations of heart disease. Despite its seeming self-evidence, anxiety is challenging to consistently define, measure, and operationalize in the context of medical research. Various diagnostic nosologies have been defined and refined over time, but anxiety is also a universal human experience that may be ""normal"" in many circumstances, particularly in the face of major medical issues. For these and other reasons, the research on anxiety and heart disease is mixed, incomplete, and often characterized by challenging questions of causality. Nonetheless, a broad body of literature has established clear connections between anxiety and vascular risk factors, cardiac disease, and cardiac surgery. These relationships are often intuitive, with research suggesting, for example, that chronic activation of the sympathetic nervous system is associated with increased risk of heart disease. However, they are sometimes complexly reciprocal or even surprising (e.g., with high-anxiety individuals found to have better outcomes in some cardiac conditions by virtue of seeking evaluation and treatment earlier). This chapter reviews the construct of anxiety and its complexities, its associations with heart disease, and the established treatments for anxiety, concluding with questions about anxiety, heart disease, and their optimal management that still need to be answered.",Handbook of clinical neurology
30871827,Overview of Equine Cardiac Disease.,"Equine heart diseases can be categorized with morphologic, etiologic, and physiologic diagnoses and classified anatomically as diseases of the pericardium, myocardium, valves (endocardium), and great vessels. An appreciation of normal and pathologic physiology is a key to understanding diagnosis and therapy of heart disease. Pathophysiologic diagnoses include arrhythmias, congestive heart failure, and pulmonary hypertension. Heart rhythm disturbances can occur in isolation or with structural disease. Heart failure stems from arterial filling owing to insufficient cardiac output. Pulmonary hypertension is associated with strenuous exercise, left heart failure, bronchopulmonary diseases, and pulmonary arteriopathies. The etiopathogenesis of these disorders are incompletely understood.",The Veterinary clinics of North America. Equine practice
1429946,Coronary heart disease in women: a 'new' problem.,"Recent reports of ""sex bias"" in the management of heart disease serves to focus on a more fundamental problem. Too little is known about the biology of heart disease in women or the reasons for striking differences in women's risks, prognosis, and treatment outcome--medical or surgical. Studies more sharply focused on these issues could improve treatment for half of the patient population.",Hospital practice (Office ed.)
31348712,Heart disease: from living to living well.,"<b>Aysha Mendes</b>, Editor, British Journal of Cardiac Nursing, aysha.freelance@gmail.com, discusses support for patients living with heart disease.",British journal of nursing (Mark Allen Publishing)
34558714,Heart disease detection in cats and dogs.,,The Veterinary record
38350798,"National Standards of Care for Childhood-onset Heart Disease (CoHD)-A New Paradigm Whereby Healthcare Professionals, Governments and Consumers Work Together to Optimise Patient Care.",,"Heart, lung & circulation"
18880732,Pulmonary heart disease.,,British heart journal
20993565,Heart disease.,,Connecticut health bulletin
18910319,Heart disease.,,The Health bulletin
24268011,Systemic sclerosis and the heart.,"Heart disease, either clinically apparent or silent, is a frequent complication of systemic sclerosis (SSc, scleroderma) and may affect both patients with diffuse cutaneous and limited cutaneous SSc. The availability of more sensitive modalities has led to an increased awareness of scleroderma heart disease, which often involves the pericardium, myocardium, and cardiac conduction system. This awareness of cardiac involvement requires attention and interventions led by internists, cardiologists, and rheumatologists. Although no specific therapy exists for scleroderma heart disease, early recognition of the presence and type of scleroderma heart disease may lead to more effective management of patients with scleroderma.",Rheumatic diseases clinics of North America
26653626,"Transfusion in Ischemic Heart Disease: Correlation, Confounding, and Confusion.",,Journal of the American College of Cardiology
14353990,Obesity and heart disease.,,Journal of chronic diseases
12997630,Diet in heart disease.,,The British journal of nutrition
23227849,The natriuretic peptides as biomarkers for adults with congenital heart disease.,"Thanks to improved treatment of congenital heart disease early in life, many such patients reach adulthood. Adults with congenital heart disease are an increasing population, which will continue to grow in the future. The clinical state of these patients is affected by their complex heart diseases, as well as the consequence of past corrective or palliative interventions. The natriuretic peptides are important markers for the presence, severity and prognosis of heart disease. The majority of the current knowledge is on patients with acquired heart disease. This article reviews the present knowledge regarding the role of the natriuretic peptides in adults with various forms of congenital heart disease.",Biomarkers in medicine
20223177,"[Progress in pediatric cardiology, congenital heart disease in adults, and heart surgery for congenital heart disease].","The field of pediatric cardiology is continually developing and now covers not only congenital and acquired heart disease in children but also congenital heart disease in adults and the prenatal diagnosis and prevention of heart disease. This review highlights new findings in the field of genetics, selected articles on the use of magnetic resonance imaging and multislice CT in diagnosis, and recent publications on electrophysiology and the surgical treatment of children and adults with congenital heart disease. In addition, the increasingly advanced use of mechanical assist devices as a bridge to heart transplantation in children is also discussed.",Revista espanola de cardiologia
23227281,Amyloid heart disease: the deathly protein invasion--a personal perspective.,,Methodist DeBakey cardiovascular journal
14116951,[HEART DISEASE IN FRIEDREICH'S ATAXIA. (SURVEY OF THE CASES REPORTED SINCE 1929 AND 10 PERSONAL OBSERVATIONS)].,,Archiv fur Kreislaufforschung
18459466,The constellation of hypertensive heart disease.,"Hypertension should be regarded not as a simple elevation of blood pressure, but as a constellation of functional and structural abnormalities that create a phenotypic portrait of hypertensive disease. Recent research has expanded our knowledge related to hypertensive heart disease. Future assessment of hypertensive patients' global risk should probably incorporate not only evaluation of the known traditional risk factors, such as hypercholesterolaemia, smoking, glucose levels and left ventricular hypertrophy, but also myocardial fibrosis, microvascular ischaemia, arterial stiffness, systemic inflammation, endothelial dysfunction and level of apoptosis.",Hellenic journal of cardiology : HJC = Hellenike kardiologike epitheorese
13898609,Hypoventilation and heart-disease.,,"Lancet (London, England)"
11072281,The evolving role of genetics in the diagnosis and management of heart disease.,"The role of genetics in heart disease diagnosis and management is expanding daily. Clear genetic components have been found for diseases such as hypertrophic cardiomyopathy, heart failure, and coronary artery disease. Rhythm disturbances with genetic components are atrial fibrillation and long QT syndrome. Gene therapies to treat cardiac diseases include those designed to prevent vein graft stenosis and those that promote coronary angiogenesis.",The Nursing clinics of North America
26919335,SCAI Is the voice of congenital and structural heart disease interventionalists.,,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions
13044549,IATROGENIC heart disease.,,Journal of the American Medical Association
13076090,[Heart disease].,,Schweizerische medizinische Wochenschrift
18454701,[Hypertensive heart disease in the patient with chronic kidney disease].,,Nefrologia : publicacion oficial de la Sociedad Espanola Nefrologia
20250173,Heart disease and pregnancy.,,Guy's Hospital gazette
13049041,Functional heart disease.,,Suomen laakarilehti. Finlands lakartidning
14373792,Beriberi heart disease.,,Transactions. American College of Cardiology
14357143,Hypertensive heart disease.,,The Practitioner
20267313,Congenital heart disease.,,The Journal of the Oklahoma State Medical Association
20272913,Congenital heart disease.,,University of Toronto medical journal
20271411,Congenital heart disease.,,Southern medicine and surgery
12661784,Women and heart disease: a British Heart Foundation initiative.,,International journal of clinical practice
10822790,Cardiac transplantation and other therapeutic options in the treatment of end-stage heart disease.,This article focuses on the surgical treatment of heart failure. It reviews the advances and limitations of heart transplantation and gives a broad overview of emerging technologies in the treatment of end-stage heart disease.,Comprehensive therapy
31693482,Heartbeat: Telemedicine for echocardiography screening.,,Heart (British Cardiac Society)
24293522,Progress: the ROPAC multinational registry advances our understanding of an important outcome in pregnant women with heart disease.,,Heart (British Cardiac Society)
5452775,Iatrogenic heart disease.,,Journal of the Medical Association of Georgia
30947872,The Liver in Circulatory Disturbances.,"Liver diseases frequently coexist with heart disease. The causes of coexistent heart and liver disease are categorized into four groups: (1) heart disease affecting the liver, (2) liver disease affecting the heart, (3) cardiac and hepatic manifestations of a common cause, and (4) coexistent heart and liver disease with distinct causes. Discerning the cause of cardiac and liver dysfunction is important in the management of these conditions, particularly when considering surgical intervention or heart or liver transplantation.",Clinics in liver disease
13128581,SENILE heart disease.,,The Heart bulletin
13261026,Acquired heart disease.,,The Canadian nurse
35175789,COVID-19 boosts risk of heart disease 1 year later.,Giant study shows even mild cases can take a long-term toll on heart and blood vessels.,"Science (New York, N.Y.)"
13812173,Carcinoid heart disease.,,British heart journal
13909199,Iatrogenic heart disease.,,The Journal of the Oklahoma State Medical Association
30051407,Cardiac Rehabilitation for Women.,"Cardiac rehabilitation provides comprehensive secondary prevention services and improves outcomes among patients with coronary heart disease, systolic heart failure, and other cardiac rehabilitation indications. Worldwide, cardiac rehabilitation services are underutilized. Underutilization is more common among women than in men. This chapter reviews barriers to referral, enrollment, and adherence among women and potential interventions to improve women's participation in cardiac rehabilitation. Gender similarities and differences in clinical, behavioral, and health outcomes of cardiac rehabilitation are addressed, and gaps in the evidence base are discussed, pointing to areas of future research.",Advances in experimental medicine and biology
8695466,Hypertension and heart disease.,"Peripheral blood pressure and heart disease are closely linked. Hypertension is not only associated with, but also a cause of, heart disease and evidence is mounting that treating hypertension reduces cardiac events. The knowledge and management of blood pressure is a key element of cardiac care.",Nursing standard (Royal College of Nursing (Great Britain) : 1987)
14804675,Cardiovascular heart disease.,,Journal of the South Carolina Medical Association
18110713,Amyloid heart disease.,,The American journal of the medical sciences
18110207,Coronary heart disease.,,Connecticut health bulletin
12235591,[Neurological complications in patients with heart disease].,"The brain needs a constant supply of oxygen and nutrients from blood. This fact explains its tight dependence on the cardiovascular system as well as the after effects of heart disease on the central nervous system. This study intends to describe the main conditions in which a neurological disorder appears secondarily to or coincidentally with heart disease. Methods. A bibliographical review of publications of neurological disorders related to heart disease is carried out. The main cardiac diseases that can induce neurological disorders include: disturbances of the cardiac rhythm, congenital heart diseases, and complications of cardiac catheterisation and reparative surgery. Likewise, other conditions congenital or acquired in which neurological and heart disorders coexist must be considered. Medical practice confirms that heart diseases account for different neurological conditions that can manifest by a very variable clinical expressivity.",Revista de neurologia
14250041,IATROGENIC HEART DISEASE.,,Journal of the Medical Association of Georgia
9533989,The burden of physical inactivity & cardiovascular heart disease.,"Heart disease exacts a tremendous toll each year in mortality and health care expenditures. Although physical activity reduces the risk of heart disease, the population remains inactive. The importance of physical activity in risk and health care cost reduction is discussed.",Comprehensive therapy
38381457,Studies to Test How Well PREVENT Predicts Heart Disease in Diverse Groups.,,JAMA
13109476,Heart disease in mid-life.,,Journal - Michigan State Medical Society
14261590,"HEART DISEASE, BONE DISEASE.",,Surgery
14955042,[Iatrogenic heart disease].,,Gazeta medica portuguesa
23998550,The Australian Genetic Heart Disease Registry.,,International journal of cardiology
34736826,The Australian National Standards of Care for Childhood-Onset Heart Disease (CoHD).,,"Heart, lung & circulation"
4635485,Heart disease--prevention and rehabilitation.,,The Indian journal of chest diseases
14379913,[Physiological and pathophysiological basis of the roentgen diagnosis of the heart. II. The functioning of the heart in heart disease and in cardiovascular disease and their effects on the size of the heart].,,Deutsche medizinische Wochenschrift (1946)
13350467,Heart disease at mid-century.,,"Public health reports (Washington, D.C. : 1896)"
13188827,Heart disease in India.,,American heart journal
14495827,Tobacco and heart disease.,,The Indian practitioner
4942997,Radiologic and other diagnostic clues in congenital and acquired heart disease.,,Radiologic clinics of North America
13074772,[Chronic heart disease].,,Revista brasileira de medicina
18864118,Vitamin E in heart disease.,,Annals of internal medicine
19662704,Heart disease--it's all relative.,,Harvard heart letter : from Harvard Medical School
18133587,Heart disease and pregnancy.,,Gynaecologia. International monthly review of obstetrics and gynecology. Revue internationale mensuelle d'obstetrique et de gynecologie. Monatsschrift fur Geburtshilfe und Gynakologie
18896163,Heart disease and pregnancy.,,The Medical press
18108913,Heart disease and pregnancy.,,Modern concepts of cardiovascular disease
18108912,Heart disease and pregnancy.,,Modern concepts of cardiovascular disease
14012207,[Undetected heart disease].,,Revista espanola de cardiologia
13145042,[Iatrogenic heart disease].,,Nordisk medicin
23869480,Underlying heart disease and microbiological spectrum of adult infective endocarditis in one Chinese university hospital: a 10-year retrospective study.,"To identify the underlying heart disease and microbiological pathogen associated with infective endocarditis (IE) in Chinese patients in one university hospital over a 10-year period. We recruited 115 adult patients admitted to Peking University First Hospital from 2002 to 2011 who were diagnosed with definite IE. Statistical analysis was performed to analyse data on demographics, clinical and laboratory findings, as well as microbiological pathogens. The most common underlying heart diseases for IE were congenital heart disease (24.3%) followed by degenerative valvular disease (17.4%). Aortic (44.3%) and mitral (43.5%) valves were most frequently affected. The right-sided IE cases were all found in patients with congenital heart disease. The age of patients was younger in right-sided cases than that in left-sided ones (P = 0.001). There was no difference in the mortality among groups with different underlying heart disease (P = 0.841). Forty-four (38.3%) patients were infected with viridans group streptococci. The isolation rate of staphylococci in right-sided IE was higher than that in the left-sided IE group (P = 0.021). More than 85% of streptococci were susceptible to β-lactams. Congenital heart disease and degenerative valvular disease have overtaken rheumatic heart disease as the major underlying heart diseases associated with IE. Viridans group streptococci are the most common microbial cause of IE.",Internal medicine journal
13049530,Trauma and heart disease.,,Transactions of the Association of Life Insurance Medical Directors of America
14108067,[IATROGENIC HEART DISEASE].,,Sogo igaku. Medicine
2273915,Women & heart disease.,,Maine nurse
6999488,Treatment of heart disease.,,The Practitioner
14933983,Heart disease in university students.,,Annals of internal medicine
13726973,Nature of rheumatic heart disease with special reference to myocardial disease and heart failure.,,Medicine
14208274,A SAMPLE OF HEART DISEASE IN HOSPITAL PATIENTS IN NEW GUINEA.,,The Medical journal of Australia
13019825,Asthma or heart disease?,,Cardiologia
13054249,Treatment of heart disease.,,Medicine illustrated
13011333,Diagnosis of heart disease.,,Journal of the Indian Medical Association
13037553,Valvular heart disease in older people.,,Postgraduate medicine
24071382,The impact of co-morbidities on the wealth of people with heart disease.,,International journal of cardiology
13094160,"Liver, heart: hemochromatosis.",,The Brooklyn Hospital journal
13095241,Heart disease control program in the United States.,,Diseases of the chest
15744183,Preventing and treating: heart disease in women.,"More women than men die of heart disease, yet a woman's heart disease symptoms are more likely to be overlooked. Learn how to recognize heart disease in women and help them get the treatment they need.",Nursing
14182480,"HEART DISEASE AND PREGNANCY. II. ""RISK AND MANAGEMENT"".",,Arizona medicine
5902350,Heart disease and life assurance.,,The Practitioner
14363899,Pulmonary oedema.,,British medical journal
14090997,THERAPY OF CARDIOGENIC SHOCK.,,Progress in cardiovascular diseases
13958530,Diet and heart disease.,,Postgraduate medicine
14910181,[Heart disease and rheumatism].,,Medicinski pregled
14117632,THE CARDIAC DISEASE ASSOCIATED WITH THE CARCINOID SYNDROME (CARCINOID HEART DISEASE).,,The American journal of medicine
24129593,Exome sequencing in congenital heart disease points to importance of DNA methylation.,,Circulation. Cardiovascular genetics
14153942,HEART DISEASE SCREENING IN SCHOOL CHILDREN. A COMPARISON BETWEEN CLINICAL SCREENING AND HEART-SOUND SCREENING.,,Circulation
18862330,Management of heart disease.,,The Journal of the Florida Medical Association. Florida Medical Association
20262638,Observations on beriberi heart disease.,,American heart journal
19768839,Is it true that gum disease could put me at risk for heart disease?,,DukeMedicine healthnews
15153380,Gender matters: heart disease risk in women.,Heart disease is the leading cause of death among women--and one of the most preventable. Research is giving us new insights into how we can control our risk.,Harvard women's health watch
14431219,Heart disease and filtrable viruses.,,Circulation
18112521,[Heart disease without rheumatism].,,Sicilia medica
18127889,[Heart disease and pregnancy].,,Nordisk medicin
14051425,ESSENTIAL FAMILIAL HYPERCHOLESTEROLEMIA AND XANTHOMATOUS HEART DISEASE.,,Boletin de la Asociacion Medica de Puerto Rico
14914324,[Metabolic heart diseases].,,Accademia medica
14821151,[Heart disease and rheumatism].,,Bollettino - Societa medico chirurgica Cremona
14927454,Incidence of heart disease among Colorado school children; a state-wide study.,,Journal of the American Medical Association
13159119,The association of gallstones and heart disease.,,Annals of surgery
5010970,Adult heart disease in western Nigeria: a clinicopathological synopsis.,,American heart journal
14920237,[Psychotherapy in heart disease].,,Il Policlinico. Sezione pratica
13690215,Heart disease and employment. Heart disease and compensability under workmen's compensation.,,Journal of occupational medicine. : official publication of the Industrial Medical Association
18114617,Statistical studies of heart disease; mortality from heart disease related to geographic section and size of city.,,"Public health reports (Washington, D.C. : 1896)"
4637597,Is heart disease on the increase in India?,,Indian heart journal
35174935,Mesothelial/monocytic incidental cardiac excrescence (MICE) masquerading as a mediastinal lymph node in a patient with suspected acute rheumatic heart disease.,,Pathology international
14206803,NONSURGICAL ACQUIRED HEART BLOCK.,,Annals of the New York Academy of Sciences
13124372,Some pitfalls in the diagnosis of heart disease.,,The American journal of nursing
14179814,USE OF TAPE RECORDED HEART SOUNDS TO DETECT HEART DISEASE IN CHILDREN.,,Medical record and annals
5262964,Rheumatic fever and rheumatic heart disease in Puerto Rico. A review.,,Boletin de la Asociacion Medica de Puerto Rico
13030083,[Metabolic heart diseases].,,Accademia medica
13099386,The liver in heart disease.,,The Nebraska state medical journal
14431757,[Chronic chagasic heart disease].,,El Dia medico
14178875,CATHETERIZATION OF THE HEART.,,Medical times
13187866,The heart and gall bladder disease.,,Virginia medical monthly
21008868,The early recognition of disease; heart disease.,,The Practitioner
14940558,[Erroneous heart diagnoses].,,Die Medizinische
3811838,Cerebral ischemic attacks as a complication of heart disease: the value of echocardiography.,"The association of heart disease and cerebral ischemic attacks, and the usefulness of echocardiography in detecting heart disease and possible embolic source, were studied in 194 patients with transitory cerebral ischemic attack or stroke. The study revealed 95 patients with heart disease, and 63 of them had positive echocardiographic findings. All together, 35 patients had heart disease as a probable source for systemic embolism. An undetected cardiac disorder, not found by clinical examination or electrocardiography, was detected in 25 patients. The cardiac disorder found by echocardiography only, was most frequently aortic and mitral valve disease. Thus, echocardiography is an useful tool in detecting heart disease in these patients.",Acta neurologica Scandinavica
13185019,[Heart disease of endocrine origin].,,Die Medizinische
13014023,[Heart disease due to myxedema].,,Prensa medica argentina
18938518,The incidence of rheumatic heart disease in individuals with congenital malformations of the heart.,,The American journal of pathology
13019776,Heart disease a generation ago and now.,,Cardiologia
18862764,Congenital heart disease; clinicopathological conference.,,Philadelphia medicine
13182142,The P wave in the electrocardiogram in the diagnosis of heart disease.,,British heart journal
18112742,[Chronic pulmonary heart disease].,,La Prensa medica mexicana
4243868,[Heart disease in the aged].,,Klinicheskaia meditsina
13447143,Heart disease as a cause of death.,,Circulation
16223230,"Heart disease: detect it early, hit it hard.",,U.S. news & world report
5141170,Editorial. Is heart disease preventable?,,Journal of the Tennessee Medical Association
13041547,[Diagnosis of rheumatic heart disease associated with other heart diseases].,,Archivos del Instituto de Cardiologia de Mexico
13157070,Roentgen diagnosis of heart disease.,,Transactions. American College of Cardiology
13202684,Cardiac catheterization in heart disease.,,The Medical clinics of North America
27328480,Mississippians Make Strides in Decreasing Heart Disease.,,Journal of the Mississippi State Medical Association
14781966,[Congenital heart diseases].,,La Semana medica
14836839,[Congenital heart diseases].,,Zdravstveni vestnik
22619753,Heart disease in women II: diagnosis and treatment.,,European heart journal
13562953,The epidemiology of heart disease.,,Irish journal of medical science
13100990,[Heart disease in tuberculosis; thoracoplasty].,,Revista espanola de tuberculosis
13003614,[Heart disease and surgical treatment].,,Polski tygodnik lekarski
13733431,The riddle of heart disease.,,The British journal of clinical practice
18920049,"[Heart diseases; psychosocial problem; general considerations, how to prevent heart disease].",,El Dia medico
7157159,[Heart disease prevention problem--more than a problem just of cardiology and just of medicine].,,Terapevticheskii arkhiv
18883505,[Cholesterolemia in heart disease].,,Nordisk medicin
13383039,[RHEUMATISM and heart disease].,,Boletin de la Oficina Sanitaria Panamericana. Pan American Sanitary Bureau
